,,,,,
,VOLUNTEER CODE,—,,,Total
1,45E,,,,
2,4e6N,,,,
3,436C,,,,
4,4c6LL,,,,
5,447D,,,,
6,4d6M,,,,
7,4b6K,,,,
8,4d61MR,,,,
9,436C,,,,
10,566V,,,,
11,4e6N,,,,
12,5361S,,,,
13,416272696c,,,,
14,47616279,,,,
15,4b696be9,,,,
16,446965676f,,,,
17,4f726c616e646f,,,,
18,416c6578,,,,
19,4a6f7365,,,,
20,4d697269616d,,,,
21,4b6172656e,,,,
22,4.272756E+67,,,,
23,416c657820542e,,,,
24,4e6174616c6961,,,,
25,4d616a6f,,,,
26,496c7365,,,,
27,4e6179656c69,,,,
28,4361726f,,,,
29,4d696775656c,,,,
30,5269636172646f,,,,
31,546572657361,,,,
32,416c626572746f,,,,
33,43696e74686961,,,,
34,4c656f6e,,,,
35,596172656c69,,,,
36,50616c6f6d61,,,,
37,4c65736c6965,,,,
38,526f676572,,,,
39,4d617269,,,,
2017-10-19 01:20:33.359485,8.6     g        Over,,,,2017-10-19 12:39:30.693455,        0.7     g        Over
2017-10-19 12:39:30.694970,
2017-10-19 13:37:24.500491,       14.3     g        Over
2017-10-19 13:37:24.502592,
2017-10-19 13:49:38.633818,        0.6     g        Over
2017-10-19 13:49:38.634250,
2017-10-19 13:49:47.377569,      113.5     g        Over
2017-10-19 13:49:47.377965,
2017-10-19 14:11:52.043834,        0.0     g      Accept
2017-10-19 14:11:52.044214,
2017-10-19 14:11:59.849324,        0.6     g        Over
2017-10-19 14:11:59.849709,
